#
# Generic EBL Shape (2007-09-21)
#
# Martin Raue & Daniel Mazin (2007)
# www.desy.de/~mraue/ebl/
#
# E(TeV)  z=0.01  z=0.03  z=0.034  z=0.044  z=0.067  z=0.071  z=0.0755556  z=0.116  z=0.129  z=0.1396  z=0.141111  z=0.165  z=0.188  z=0.206667  z=0.212  z=0.272222  z=0.337778  z=0.403333  z=0.468889  z=0.534444  z=0.536  z=0.6  
0 0.01 0.03 0.034 0.044 0.067 0.071 0.0755556 0.116 0.129 0.1396 0.141111 0.165 0.188 0.206667 0.212 0.272222 0.337778 0.403333 0.468889 0.534444 0.536 0.6 
0.03 5.09691e-05 0.000171458 0.000198844 0.000272596 0.000473998 0.000514006 0.000561507 0.00108351 0.00129417 0.00148327 0.00151154 0.00200506 0.00256931 0.00309795 0.0032614 0.00553169 0.00902742 0.0137959 0.0200321 0.0279099 0.0281181 0.0375838 
0.0380688 0.000217777 0.000710061 0.000818225 0.00110374 0.00184798 0.00199069 0.00215824 0.00389723 0.00455954 0.00513968 0.0052254 0.00668441 0.0082829 0.00972879 0.0101674 0.0159588 0.0241818 0.0346386 0.0475396 0.0630691 0.0634709 0.0813957 
0.0483079 0.000587701 0.0018831 0.00216228 0.00289082 0.00474006 0.00508744 0.00549269 0.00956032 0.0110563 0.0123474 0.0125368 0.0157116 0.0191003 0.0220998 0.022999 0.0345116 0.0500623 0.0690148 0.0916141 0.118103 0.118781 0.148739 
0.0613008 0.0012403 0.00392594 0.00449693 0.00597532 0.00966028 0.0103429 0.0111357 0.018917 0.0217119 0.0241004 0.024449 0.0302349 0.0363049 0.0416027 0.0431787 0.0629694 0.0889057 0.119781 0.155988 0.197948 0.199017 0.246121 
0.0777883 0.00223746 0.00702127 0.00802864 0.0106226 0.0170079 0.0181794 0.0195361 0.0326564 0.0372967 0.0412375 0.041811 0.0512692 0.0610901 0.0695923 0.0721109 0.103419 0.14387 0.191579 0.247226 0.311528 0.313165 0.385228 
0.0987103 0.00364313 0.0113693 0.0129864 0.0171366 0.027277 0.0291272 0.0312663 0.0517878 0.058988 0.0650844 0.0659702 0.0805397 0.0956006 0.108597 0.112441 0.160058 0.221332 0.293457 0.3775 0.474525 0.476993 0.58556 
0.12526 0.00559223 0.0174066 0.0198728 0.0261925 0.0415862 0.0443887 0.0476267 0.0786028 0.089443 0.0986132 0.0999452 0.121836 0.144441 0.163934 0.169698 0.241057 0.332818 0.440709 0.566152 0.710446 0.714109 0.874728 
0.15895 0.00837057 0.0260365 0.0297216 0.0391615 0.0621399 0.0663213 0.0711518 0.117339 0.133495 0.147161 0.149146 0.18176 0.215428 0.244451 0.25303 0.359146 0.4952 0.654393 0.838233 1.04791 1.05321 1.28427 
0.201701 0.0124349 0.0386737 0.0441462 0.0581635 0.0922736 0.0984788 0.105647 0.174131 0.198061 0.21829 0.221227 0.269453 0.319155 0.361927 0.374557 0.530221 0.728184 0.957414 1.219 1.51351 1.5209 1.84102 
0.25595 0.0183741 0.0571085 0.0651803 0.0858439 0.136053 0.145176 0.155708 0.256071 0.291021 0.320515 0.324794 0.394903 0.46688 0.528592 0.546774 0.769385 1.04871 1.36737 1.72541 2.12219 2.13207 2.55648 
0.324791 0.026768 0.0830526 0.0947567 0.124679 0.197149 0.210279 0.225426 0.369028 0.418733 0.46056 0.466619 0.565587 0.666596 0.752738 0.77804 1.08509 1.46391 1.88843 2.357 2.86729 2.87988 3.41639 
0.412147 0.0379562 0.117437 0.13391 0.17594 0.27725 0.295534 0.3166 0.514968 0.583087 0.640206 0.648465 0.782842 0.919008 1.0344 1.06816 1.47379 1.96475 2.5044 3.08906 3.71463 3.72993 4.37675 
0.522999 0.0518472 0.159857 0.182151 0.238897 0.374895 0.399327 0.427433 0.690021 0.779377 0.854001 0.864768 1.0392 1.21457 1.36215 1.40517 1.91636 2.52308 3.1773 3.8737 4.60693 4.62474 5.37196 
0.663665 0.0677719 0.208142 0.236984 0.310202 0.484582 0.515752 0.551553 0.883252 0.995053 1.08803 1.10142 1.31735 1.53271 1.71271 1.76497 2.37968 3.09603 3.85547 4.65205 5.48041 5.50041 6.33581 
0.842165 0.0844962 0.258476 0.294059 0.384148 0.597384 0.635311 0.678805 1.07857 1.2121 1.32271 1.33861 1.59396 1.84682 2.05686 2.11764 2.82632 3.64013 4.49209 5.37679 6.28965 6.31162 7.22695 
1.06867 0.100588 0.306577 0.348529 0.454487 0.703898 0.748067 0.798651 1.26041 1.41348 1.53989 1.55803 1.84846 2.13447 2.37099 2.43926 3.23048 4.13036 5.0655 6.03179 7.02605 7.04996 8.04592 
1.35611 0.11501 0.349517 0.397121 0.517132 0.798458 0.84812 0.904939 1.42114 1.59138 1.73169 1.75179 2.07316 2.38857 2.6487 2.72369 3.58999 4.57114 5.58876 6.64039 7.72434 7.75044 8.83956 
1.72085 0.12769 0.387331 0.439929 0.572379 0.882102 0.936677 0.999083 1.56461 1.75065 1.90384 1.92578 2.27624 2.6198 2.90295 2.98455 3.92704 4.99558 6.10696 7.26026 8.45509 8.48394 9.69151 
2.18369 0.139433 0.422634 0.47996 0.624264 0.961471 1.02086 1.08877 1.70401 1.90642 2.07312 2.097 2.47856 2.85294 3.16181 3.25089 4.2819 5.45669 6.68621 7.97097 9.31201 9.34453 10.7109 
2.77101 0.151722 0.460014 0.522446 0.679652 1.04732 1.11213 1.18625 1.85889 2.08066 2.26349 2.2897 2.70895 3.12128 3.46222 3.56067 4.70462 6.0183 7.40531 8.86842 10.4113 10.4489 12.0384 
3.51631 0.166374 0.504975 0.573636 0.746664 1.15213 1.22372 1.30565 2.05125 2.29796 2.50168 2.53092 2.99932 3.46159 3.84503 3.95595 5.25165 6.75547 8.36234 10.0796 11.9163 11.9615 13.8835 
4.46206 0.185327 0.56341 0.640226 0.834032 1.28946 1.37005 1.46235 2.30577 2.58621 2.8183 2.85164 3.38722 3.91825 4.3606 4.48889 5.99835 7.77619 9.70799 11.8108 14.1052 14.1621 16.6154 
5.66218 0.211045 0.643001 0.730994 0.953349 1.47785 1.57096 1.6777 2.65852 2.98683 3.2594 3.29861 3.93076 4.56162 5.09028 5.24415 7.0731 9.27233 11.7187 14.4477 17.4993 17.576 20.9186 
7.18508 0.247696 0.756969 0.861094 1.12479 1.75013 1.86163 1.98963 3.17508 3.57565 3.90965 3.95781 4.73797 5.52374 6.18775 6.38196 8.72295 11.6139 14.9185 18.7029 23.0418 23.1521 28.0176 
9.11759 0.303276 0.93082 1.05979 1.38743 2.17023 2.31067 2.47222 3.98445 4.50192 4.93583 4.99858 6.02126 7.06279 7.95156 8.21295 11.4122 15.4744 20.2451 25.8429 32.3969 32.5651 40.0446 
11.5699 0.393584 1.21462 1.38444 1.81746 2.86118 3.04975 3.26715 5.32632 6.04047 6.64282 6.73019 8.16314 9.63901 10.9107 11.2868 15.9565 22.0338 29.3242 38.0224 48.3297 48.5955 60.449 
14.6817 0.545785 1.6939 1.93293 2.54475 4.03244 4.3031 4.61581 7.61137 8.66323 9.55509 9.6848 11.8235 14.0469 15.9774 16.5506 23.7431 33.2508 44.7782 58.6037 74.9993 75.4217 94.2229 
18.6305 0.807333 2.51805 2.87617 3.79569 6.04737 6.45923 6.93585 11.539 13.1691 14.5559 14.7579 18.0996 21.5918 24.6356 25.5411 36.9467 52.0717 70.3803 92.2182 117.893 118.551 147.664 
23.6414 1.2546 3.92493 4.48574 5.92816 9.47317 10.1233 10.8761 18.1704 20.7603 22.9652 23.2865 28.6029 34.1591 38.9993 40.4385 58.5176 82.3077 110.779 144.265 183.017 184.002 227.196 
30 1.99449 6.24243 7.13478 9.42994 15.0687 16.1022 17.2988 28.8699 32.9666 36.4489 36.9558 45.3278 54.0414 61.6013 63.8435 91.7926 127.979 170.485 219.503 274.961 276.351 336.218 
